GLIDE_number,Event,Country,Date,Event_Code,Country_Code,Glide_Serial,Comments
EP-2014-000039-CMR,Epidemic,Cameroon,2014-08-28,EP,CMR,2014-000039,Ebola preparedness
EP-2014-000039-ETH,Epidemic,Ethiopia,2014-10-29,EP,ETH,2014-000039,Ebola preparedness
EP-2014-000039-GIN,Epidemic,Guinea,2014-03-21,EP,GIN,2014-000039,"On the 21st of March the Government of Guinea confirmed a suspected Viral Haemorrhagic fever outbreak that had been developing since early February as  Ebola.  Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. 
Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected.. 
The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and  communities in all three countries are at risk . Initial reports suggest that already 3 suspected  cases have been found in Sierra Leone"
EP-2014-000039-GMB,Epidemic,Gambia,2014-09-16,EP,GMB,2014-000039,Ebola preparedness
EP-2014-000039-GNB,Epidemic,Guinea Bissau,2014-10-08,EP,GNB,2014-000039,"Guinea Bissau has been categorized as ?high risk country? by WHO, because of its borders with Guinea , in particular the localities of Gabu and Oio, as well as Bafata and Sao Domingo, which border Senegal. The borders are not closed and circulation of persons and goods is a factor of risk aggravation."
EP-2014-000039-KEN,Epidemic,Kenya,2014-09-23,EP,KEN,2014-000039,Ebola preparedness
EP-2014-000039-LBR,Epidemic,Liberia,2014-04-08,EP,LBR,2014-000039,"Guinea recorded early this year 134 suspected cases of febrile illness and 83  deaths (including 34 community deaths) in some districts of the Forest Guinea, with a fatality rate of 69 per cent. These highest concentration of cases and deaths are as follows: Guékédou (80 cases/ 54 deaths); Macenta (26 cases/ 14 deaths) and Conakry (15 cases/ 4 deaths).

Faced with this situation, the health authorities of the Administrative Region N'Zérékoré, together with the Institute of Public Health, Infectious Diseases University Hospital, WHO and MSF worked together to confirm the nature of this unusual pathology. A total of 36 samples were taken, of which 12 were sent to the Laboratory of Lyon (France) for confirmation on 17 March 2014. The results of these samples reached Conakry on 21 March, and revealed six positive samples, including three positive for filo virus EVD. Of the three cases positive for Ebola virus disease (EVD), one case moved to Liberia and are all from the health district Macenta. 

In Liberia, as of 4 April, there are a total of two confirmed cases, 18 suspected cases and 7 deaths (CFR 31%, of these, only one case was confirmed as death as a result of the EVD), with two cases discharged and 46 others under follow up. There are concerns that close contacts of confirmed deaths EVD have traveled from the effected areas. Current counties with confirmed and/or probable cases are Lofa, Margibi, Bong, Nimba and Monterrado. Isolation centres have been set up in Lofa, Margibi, Bong and Nimba, while the MoH are planning to set up a further centre in JFK Hospital in Monrovia (Monterrado County)."
EP-2014-000039-MLI,Epidemic,Mali,2014-04-19,EP,MLI,2014-000039,"A fast-spreading outbreak of Ebola virus disease is affecting several countries in West Africa. With cases registered since February and March, Guinea and Liberia have registered up to 150 and 20 cases respectively with more than 100 deaths in Guinea and ten in Liberia. With affected regions of  Macenta, Gueckedou, N'Zerekore and Kissidougou in Guinea and Lofa, Nimba, Margibi and Montserrado regions in Liberia, additional suspected cases have been reported in Sierra Leone and Mali and laboratory identification is ongoing to determine its nature."
EP-2014-000039-SEN,Epidemic,Senegal,2014-04-11,EP,SEN,2014-000039,On the 21st of March the Government of Guinea confirmed a suspected viral haemorrhagic fever outbreak that had been developing since early February as Ebola. Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected. The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and communities in all three countries are at risk.
EP-2014-000039-SLE,Epidemic,Sierra Leone,2014-04-05,EP,SLE,2014-000039,On the 21st of March the Government of Guinea confirmed a suspected Viral Haemorrhagic fever outbreak that had been developing since early February as Ebola. Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected.. The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and communities in all three countries are at risk.
EP-2014-000039-TCD,Epidemic,Chad,2014-09-15,EP,TCD,2014-000039,"Chad shares an important border with Nigeria, a country in which the Ebola epidemic has already being confirmed and claimed four lives. In order to avoid the spread of the disease into its territory, the Chadian government has stopped all the aerial traffic with Nigeria. However, the border the two countries share remains uncontrolled, with people moving in and out on a daily basis. The armed conflict in the northern part of Nigeria has resulted into population movement in the region of Lac.

It is the first time in history that Chad prepares for Ebola. Its population, as well as the health institutions, have no knowledge of the mode of transmission, measurement and prevention. The Ministry of Health has initiated some measures to prevent the occurrence of the disease and to prepare the response to this epidemic through:

-	Strengthening the epidemiological surveillance in the border areas with Nigeria
-	Putting in place health check point  at the airport and in border control check point
-	Installation of tents to isolate affected persons."
EP-2014-000039-TGO,Epidemic,Togo,2014-08-28,EP,TGO,2014-000039,Ebola preparedness
FL-2014-000038-ZAF,Flood,South Africa,2014-03-23,FL,ZAF,2014-000038,"From 01 March to 18 March 2014 the north-eastern parts of the country experienced heavy and extended rainfall which led to extensive flooding and landslides. As a result, over 7,000 people have been affected, with 3,525 displaced. The government of South Africa confirms 32 deaths have been reported with others still missing due to flash flooding. The most affected provinces include Limpopo, Mpumalanga, North West and Gauteng. 

Limpopo Province was worst affected with the municipalities of Lephalale, Mogalakwena, Modimolle, Bela-Bela, Thabazimbi, and Mookgopong in Waterberg District hardest hit. Most community members have evacuated or been evacuated to evacuation centre set up by Government in community halls, crèches, schools. Emergency Response Teams from government, private sector, military, NGOs and the red cross  have been working together to evacuate flood affected communities."
DR-2014-000037-PER,Drought,Peru,2014-03-19,DR,PER,2014-000037,"Durante los meses de noviembre del 2013 y enero del 2014 se presentaron deficiencia de lluvias para la zona de la sierra de Piura (Morropón, Ayabaca y Huancabamba) y de la misma manera en las zonas altas de Tumbes; asimismo en la región Lambayeque presenta afectación en su zona norte"
CW-2014-000036-IND,Cold Wave,India,2014-03-12,CW,IND,2014-000036,"Several days of consecutive heavy snowfall in March 2014 have resulted in the deaths of 17 people in the northern Indian state of Jammu and Kashmir, India."
DR-2014-000035-PAK,Drought,Pakistan,2014-03-12,DR,PAK,2014-000035,"Since the beginning of March 2014, severe shortages of food and water have been reported in Tharparkar district in Pakistan's south-east Sindh province. A number of children have reportedly died of malnutrition. The area has not received any significant rainfall since the end of 2013. Tharparkar has been declared calamity-hit by the Government of Sindh and PKR 18.6 million have been released for immediate relief."
EP-2014-000034-FJI,Epidemic,Fiji,2014-03-17,EP,FJI,2014-000034,"By mid-March 2014, Fiji's Ministry of Health had confirmed 11 deaths and over 10,000 suspected cases in a dengue outbreak, which had started in November 2013. The Australian Government donated AUD 750,000 to the Fiji Government to purchase medical supplies and support a public health awareness campaign. The People's Republic of China donated USD 50,000. The Government is running a campaign to remove mosquito breeding sites in Suva."
TC-2014-000033-VUT,Tropical Cyclone,Vanuatu,2014-03-10,TC,VUT,2014-000033,"This is the first OCHA Flash Update on Tropical Cyclone Lusi (Category 1) located approximately 60 km northeast of Santo and 90 km south-southwest of the Banks Islands. The system is moving at 10 km/h in a south-southeast direction with winds estimated at 85 km/h near its centre. The cyclone is forecast to intensify to a Category 2 system early tomorrow morning. See TC Lusi track map.

The Vanuatu National Disaster Management Office has activated its Emergency Operations Centre and has issued cyclone warnings for Torba (population 9359), Sanma (45,855), Penama (30,819) and Malampa (36,727) Provinces. The cyclone is expected to cause damaging gale force winds and very rough seas with heavy swells. Heavy rainfall and flooding is expected in low-lying areas and areas close to river banks. People are being urged to listen to radio broadcasts and check meteorological service websites for updates."
SS-2014-000032-MHL,Storm Surge,Marshall Islands,2014-03-03,SS,MHL,2014-000032,"On 3 Mar 2014, tidal surges during the morning and afternoon high tides caused inundation to communities on low-lying atolls of the Marshal Islands. There are no reports of fatalities or serious injuries. In the capital Majuro, around 1,000 people are estimated to be displaced. A number of outer islands have also been affected. The Government declared a state of emergency."
VO-2014-000031-GTM,Volcano,Guatemala,2014-03-02,VO,GTM,2014-000031,"The Pacaya volcano has erupted on 2 March 2014 spewing ash and lava, with clouds reaching a height or at least 4km. Authorities have declared a yellow alert and are considering the evacuation of some 3,000 people living in the area."
FL-2014-000030-PRY,Flood,Paraguay,2014-02-28,FL,PRY,2014-000030,"Heavy rains occurred on Feb. 25 flooded several houses affecting more than 3.500 people in Luque, Mariano Roque Alonso, Lambaré y Limpio. (Gov, 26 Feb 2014)"
FL-2014-000029-FJI,Flood,Fiji,2014-02-25,FL,FJI,2014-000029,"Heavy rainfall affected parts of Fiji due to a Tropical Depression currently located south of Vanua Levu island. As of 26 February, according to the national meteorological service of Fiji forecast, heavy rainfall and thunderstorms are expected to affect the islands of Vanua Levu, Taveuni, Lau and Lovaiviti groups, the eastern half of Viti Levu, Kadavu and the nearby smaller islands. Consequently, a Heavy Rain Warning is in effect for these islands."
FL-2014-000028-PER,Flood,Peru,2014-02-26,FL,PER,2014-000028,"El 24 de febrero del 2014, a las 05:30 horas aproximadamente, a consecuencia de las intensas precipitaciones pluviales, se produjo un huayco afectando la vía de comunicación, en la quebrada río colorado Km 07, carretera de la localidad Pampa Americana en el distrito de Chanchamayo, provincia de Chanchamayo, región Junín.
Código SINPAD N? 00063436."
OT-2014-000027-VEN,Other,Venezuela,2014-02-12,OT,VEN,2014-000027,"Since 12 February disturbances in several parts of Venezuela have been reported. According to figures from the Government of Venezuela, 8 people have died and 137 have been injured in several cities. Concentrations have been increasing, forcing the temporary closure of stores near crowds. Some of the cities reporting manifestations are Caracas, Caroni, Carabobo Valencia, Vargas, Lara, Merida, Bolívar among others. Public transport is scarce, there is absenteeism in various parts of the country and food shortages are being reported."
VO-2014-000026-GTM,Volcano,Guatemala,2014-02-20,VO,GTM,2014-000026,"The Volcano de Fuego, situated between the departments of Sacatepéquez, Escuintla and Chimaltenango, increased its eruptive activity in the last few hours. This caused internal explosions and ash to spew about 700 meters into the air above the crater. ([OCHA, 17 Feb 2014]"
EP-2014-000025-NAM,Epidemic,Namibia,2014-02-17,EP,NAM,2014-000025,"Since November 2013, Namibia has been affected by a cholera outbreak, which was initially confined to four northern regions, including hardest hit Kunene, as well as Omusati, Oshana and Ohangwena. By 10 Feb 2014, 504 cases and 16 deaths had been recorded. The Ministry of Health and Social Services declared the situation to have ?completely stabilized? on 20 Jan. On 11 Feb, the first cases of cholera were reported in the capital Windhoek, in the Katutura area. By 17 Feb, 14 cases and one death had been recorded."
EP-2014-000024-TMP,Epidemic,East Timor,2014-01-24,EP,TMP,2014-000024,"A dengue fever outbreak has occurred in Timor-Leste's capital Dili, with an escalation in the number of cases in early January 2014. As of the second week of January, the number of confirmed cases at the national hospital was 67 people and one death. As of the first week of February, the number of confirmed cases at the national hospital has increased drastically; to date, 197 cases have been reported with two fatalities. The Ministry of Health expects the numbers will continue to increase in the coming months due to the wet season."
EQ-2014-000023-CHN,Earthquake,"China, People's Republic",2014-02-12,EQ,CHN,2014-000023,"A 7.3-magnitude earthquake hit northwest China's Xinjiang Uygur Autonomous Region on 12 February 2014. Sixty-seven houses were toppled and more than 1,000 ones damaged to varying degrees, local authorities said, adding that 185 livestock deaths were reported."
VO-2014-000022-IDN,Volcano,Indonesia,2014-02-13,VO,IDN,2014-000022,"Mount Kelud in East Java, Indonesia, started eruption at 22:50 p.m. Jakarta time on Thursday, forcing thousands of residence living within 10 kilometers from the crater to evacuate."
CW-2014-000021-CHN,Cold Wave,"China, People's Republic",2014-02-08,CW,CHN,2014-000021,"Continuous snowstorms in northwest China's Xinjiang Uygur Autonomous Region have killed more than 300 livestock and disrupted the lives of 13,000 people."
DR-2014-000020-THA,Drought,Thailand,2014-01-31,DR,THA,2014-000020,The Department of the Disaster Prevention and Mitigation (DDPM) has said 25 districts in 8 provinces in the northeastern region have already been hit by drought.
FL-2014-000019-BDI,Flood,Burundi,2014-02-10,FL,BDI,2014-000019,"Torrential rainfall during the night of 9-10 Feb 2014 across Burundi has caused flooding and landslides, resulting in extensive damage and destruction, especially in the capital Bujumbura. More than 50 people have been killed and houses and infrastructure have been destroyed.

So far (Feb.13),  66 persons have been reported dead, of which many were children. 67 persons have been seriously injured, and there is a concern that more persons have been buried and missing. The rescuers are continuing their search for missing  persons. Over 1,000 homes have been completely destroyed and nearly 12,000 people are estimated to be homeless. (IFRC)"
CW-2014-000018-SVN,Cold Wave,Slovenia,2014-01-31,CW,SVN,2014-000018,"Due to highly unfavourable weather conditions, heavy snow and sleet (freezing rain) started hitting Slovenia on Friday, 31 January 2014, and continued during the weekend of 1-2 February 2014. Many regions have been affected but mostly the Notranjska region in the south-western part of the country.
State of emergency (red alarm) was proclaimed for the whole country on 2 February 2014. However, the scope of sleet devastation is beyond any anticipated estimations. 
Extreme weather conditions have caused extensive power cuts with more than 80,000 client sites affected, leaving around 250,000 people without electric power."
CW-2014-000017-SRB,Cold Wave,Serbia,2014-02-01,CW,SRB,2014-000017,"Due to extreme winds (120-150 kilometres per hour), snow drifts paralyzed traffic along the international highway E-75, but also down to many local and district roads especially in Vojvodina province. Hundreds of vehicles were stranded for three days, some for more than 15 hours, while the cold weather and the snow drifts made further travel challenging. Finally the Government of Serbia mobilised almost all available heavy machinery on Saturday, 01.02.2014, to clean the roads and to get access to vehicles at the critical points. In these efforts the Military, the Police Forces, and the Emergency Management Department with fire-fighters were mobilised, and a rescue operation was launched and completed. It is estimated that more than 1,000 vehicles were stranded in the snow. Emergency airlifts were initiated as the most effective way to reach those almost frozen in their cars. A state of emergency was proclaimed in three municipalities, Backa Topola, Zrenjanin and Kikinda as of Sunday 02.02.2014. The Red Cross of Serbia, in coordination with the State Emergency Services was engaged for the protection and rescue as of Saturday morning in the provision of assistance to the most affected travellers. The number of evacuated passengers from the snow-captured vehicles from the highway E75, on the sections in Backa Topola and Mali Idjos reached 2,000 people on Sunday, 02.02.2014."
CW-2014-000016-JPN,Cold Wave,Japan,2014-02-08,CW,JPN,2014-000016,"Heavy snow and severe weather struck Tokyo and other areas across Japan on Saturday, leaving five dead and more than 600 injured."
FF-2014-000015-ZWE,Flash Flood,Zimbabwe,2014-01-31,FF,ZWE,2014-000015,"Heavy rains in parts of the country in late January and early February resulted in deaths and displacement of people, coupled with destruction of property. The worst affected areas are Chivi and Masvingo districts in Masvingo province and Tsholotsho district in Matabeleland North."
FL-2014-000014-SYC,Flood,Seychelles,2014-01-24,FL,SYC,2014-000014,"Heavy rains and strong winds in the early hours of 24th January 2014 resulted in flooding on the islands of Praslin, La Digue and northern parts of Mahe in the Seychelles. In the following days, ongoing rainfall and strong winds continued to affect the three islands. The districts of Baie St Anne and Marie Jeanne Estate on Praslin, and most of the low land and coastal areas on La Digue island were particularly affected."
OT-2014-000013-UGA,Other,Uganda,2014-01-28,OT,UGA,2014-000013,"The escalating violence in South Sudan has given rise to massive population displacement both within South Sudan and into neighboring countries. Uganda has taken the bulk of refugees who have continued to cross the borders since the beginning of the conflict in mid- December 2013. The cumulatively increasing number of arrivals from South Sudan means that tens of thousands of people are in dire need of emergency medical care, shelter, food, water and adequate sanitation facilities. In addition, hundreds of unaccompanied minors and displaced persons have lost touch with families back in South Sudan."
CW-2014-000012-ARM,Cold Wave,Armenia,2014-01-31,CW,ARM,2014-000012,"The harsh wintry weather conditions in Armenia make the Syrian refugees even more vulnerable. Starting from
December 2013, the temperature in Yerevan and the surrounding regions has remained below -12 C. At nights the
temperature was falling down to _20 C. Due to the cold temperature, the sewage and water supply systems have been
mostly frozen in Yerevan. The Syrians are not used to such a cold weather and are mostly unprepared for a cold
winter. They do not have a proper clothing. According to the filed applications and personal observations, these people
mostly need winterization items at the moment to face one of the coldest winters in the history of Armenia.
The majority of these people, although being citizens of Syria, have Armenian ethnicity. Besides those currently
residing in Armenia, around 300 newcomers arrive from Syria every month according to the data of the Armenian
Ministry of Diaspora. Presently about 3,300 Syrian refugees have applied to the Armenian Red Cross Society (ARCS)
for support and are registered in the ARCS database."
EP-2014-000011-UGA,Epidemic,Uganda,2014-01-30,EP,UGA,2014-000011,"The cumulative number of Hepatitis E cases reported in Napak District now stands at 656 with 19 deaths (CFR 2.9%) since the declaration of this new upsurge of hepatitis E outbreak. Cases of Hepatitis E have been reported from all over the district, but majorly in three sub-counties of Lokopo, Lorengechora and Matany. Lolet, lorikitae and lokopo trading centre are the most affected villages though 14 villages account for the bulk of the outbreak in the district. Isolated cases have been received from neighbouring districts of Moroto, Nakapiripirit, Katakwi and Kotido."
OT-2014-000010-IRQ,Other,Iraq,2014-01-09,OT,IRQ,2014-000010,"The latest upsurge in violence in Anbar began 
after troops broke up a protest camp in Ramadi last 
month. Tensions have been rising over the past few 
weeks in Anbar, a province that makes up a third of 
Iraq's territory. Thousands of people have been affected by the fighting between the armed personnel and the military thus needing support."
FF-2014-000009-TZA,Flash Flood,Tanzania,2014-01-21,FF,TZA,2014-000009,"Unprecedented flash floods occurred in Dumila/Dakawa area in Morogoro region during the night of Tuesday 21st January,2014."
FL-2014-000008-BOL,Flood,Bolivia,2014-01-27,FL,BOL,2014-000008,"Heavy rains in January have triggered floods and landslides in several departments across the country, affecting at least 21,000 families"
CW-2014-000007-BLR,Cold Wave,Belarus,2014-01-18,CW,BLR,2014-000007,"After a long period of a relatively mild weather, a sudden onset of extremely cold winter caught many Belarusians completely unprepared, especially homeless, drivers and city dwellers who need to travel long distances by public transport or by foot.
On 18-20 January 2014 temperatures fell down to minus 16 and 21 degrees Celsius. The current temperatures are below minus 22-25 degrees Celsius at night and minus 21 degrees Celsius during the day. Freezing weather has already killed two persons in Belarus over the past few days, and temperatures are set to drop even further according to weather forecasts."
FL-2014-000006-PHL,Flood,Philippines,2014-01-17,FL,PHL,2014-000006,"A Low Pressure Area brought heavy rainfall in the southern Philippines starting on 10 Jan 2014, causing floods and landslides. As of 17 Jan, the Government reported 37 deaths and more than 486,000 affected people in Northern Mindanao, Davo and Caraga regions."
FL-2014-000005-IDN,Flood,Indonesia,2014-01-13,FL,IDN,2014-000005,"At least 16 people have been killed and 40,000 have fled their homes after torrential rain triggered flash floods and landslides on Indonesia's northern Sulawesi island, officials said Thursday."
FL-2014-000004-COL,Flood,Colombia,2014-01-06,FL,COL,2014-000004,"An earthquake that struck Sipí in Colombia's western Chocó department on 4 Jan 2014 damaged 121 homes in the municipality. Two days later, on 6 Jan, the San Agustín and Garrapatas overflowed in the same area, possibly related to the earlier earthquake. The flooding affected almost 9,000 people and heavily damaged at least 150 homes, which are at risk of additional flooding and need to be relocated. Health, water and hygiene and education infrastructure sustained heavy damage as well. Ongoing armed conflict in the region makes humanitarian access difficult. A Multi-Cluster Initial Rapid Assessment mission is planned for 21 Jan."
TC-2014-000003-TON,Tropical Cyclone,Tonga,2014-01-11,TC,TON,2014-000003,"Tropical Cyclone Ian passed east of Tonga's Vava'u island group and over the eastern islands of the Ha'apai group on 11 Jan 2014, killing on person and causing significant damage to homes, infrastructure and vegetation. Small buildings and dwellings have either been heavily damaged or destroyed, with many people remaining in evacuation shelters."
CW-2014-000002-USA,Cold Wave,United States,2014-01-03,CW,USA,2014-000002,"People across numerous Midwestern, Southeastern and Northeastern states dug out after heavy snowfall grounded flights, closed schools and government offices, caused significant damage and left the region in the grip of dangerously low temperatures for much of January."
OT-2014-000001-ETH,Other,Ethiopia,2014-01-28,OT,ETH,2014-000001,"Violence which erupted in mid-December in South Sudan resulted in the population movement to neighbouring countries including Uganda, Ethiopia, Kenya and Sudan. More than 20,000 people have so far fled to neighbouring Gambela region of Ethiopia."
OT-2014-000001-SDN,Other,Sudan,2014-02-25,OT,SDN,2014-000001,"The conflict in South Sudan that started on 15th December 2013, has caused fatalities and displacement among the civilian population. People have been wounded and many have fled their homes, of which some has crossed the borders to neighboring countries, including fleeing to Sudan. Until now, despite a peace agreement, insecurity remains in South Sudan, causing continued displacement and uncertainty for people, influencing their decisions not to return home yet. This translates into an increase in the humanitarian assistance demand. Latest figures suggests that more than 700,000 internally displaced and almost 150,000 persons that have fled into neighboring countries. Sudan has up to date received more than 20,000 persons, of which most are received in White Nile State."
OT-2014-000001-SSD,Other,South Sudan,2014-01-08,OT,SSD,2014-000001,"Violence which erupted in mid-December in the capital Juba has now spread northwards and is ongoing in several parts , and six states, of the country. Armed hostilities have been particularly intense in other areas outside Juba including Jonglei, Unity and Upper Nile states. Three weeks of fighting have left at least 1,000 people dead and displaced over 189,000.
- Juba is generally calm although there was shooting on Saturday evening which created wide spread panic in the population.
- There are reports of defections from the military in the locations of Yei, Morobo, Lainya, Lui, Rokon to the oppositions. There are reported to be moving towards the rebel controlled areas of jongley .
- States not affected by the conflict Eastern Equatoria, Western Equatoria, Western Bahr el Ghazal and Northern Bahr El Ghazal."
EP-2013-000175-COD,Epidemic,Congo Democratic Republic,2013-10-31,EP,COD,2013-000175,"Over the course of 2013, ongoing violence and displacement in North and South Kivu, Katanga and Orientale provinces limited access to health care and life-saving vaccination services. Between January and September, more than 21,000 cases of cholera and 376 deaths were recorded with 99% of these cases in the eastern provinces. During the same time frame, more than 74,299 cases of measles and 1,160 deaths had been reported."
OT-2013-000174-KEN,Other,Kenya,2013-09-21,OT,KEN,2013-000174,"On Saturday 21 September 2013 at 12:30pm, the Westgate shopping mall was attacked by terrorists."
FL-2013-000173-USA,Flood,United States,2013-04-16,FL,USA,2013-000173,Excessive rainfall led to widespread flooding throughout much of Illinois. Damage from the flooding along with strong winds and hail was also seen in parts of Indiana and Missouri.
ST-2013-000172-USA,SEVERE LOCAL STORM,United States,2013-04-07,ST,USA,2013-000172,Severe weather across the Midwest and Plains caused 26 confirmed tornadoes and significant hail and wind damage.
ST-2013-000171-USA,SEVERE LOCAL STORM,United States,2013-03-18,ST,USA,2013-000171,Severe weather over the southeastern United States brought 10 confirmed tornadoes along with damaging hail and winds. This led to over $2 billion worth of damage.
TO-2013-000170-USA,Tornadoes,United States,2013-05-18,TO,USA,2013-000170,"An outbreak of tornadoes and severe weather moved across the Midwest, Plains and Eastern United States. There were 59 confirmed tornadoes."
ST-2013-000169-USA,SEVERE LOCAL STORM,United States,2013-08-06,ST,USA,2013-000169,A line of severe thunderstorms moved across Wisconsin on August 6th and 7th producing damaging winds and tornadoes.
TO-2013-000168-USA,Tornadoes,United States,2013-05-27,TO,USA,2013-000168,"92 Confirmed tornadoes struck the Midwest, Plains and Northeastern United States resulting in more than $2 billion worth of damage."
FL-2013-000167-USA,Flood,United States,2013-09-10,FL,USA,2013-000167,Historic flooding caused by record rainfall from a stalled frontal boundary over Colorado led to over $2 billion worth of damage.
TO-2013-000166-USA,Tornadoes,United States,2013-11-17,TO,USA,2013-000166,"70 Confirmed tornadoes caused severe impacts across the Ohio Valley in Indiana, Illinois, Missouri, Kentucky, Ohio and Michigan."
DR-2013-000165-USA,Drought,United States,2013-03-01,DR,USA,2013-000165,Moderate to extreme drought conditions affected the plains states and expanded into western states from early March until the end of November.
EP-2013-000164-CMR,Epidemic,Cameroon,2013-11-21,EP,CMR,2013-000164,"In October 2013, wild poliovirus type 1 (WPV1) was confirmed in Cameroon for the first time since 2009. Two patients in the West Region developed paralysis on 1 Oct and 19 Oct. In January 2014, three new cases were reported from three new regions."
EP-2013-000163-SYR,Epidemic,Syrian Arab Rep,2013-11-07,EP,SYR,2013-000163,"On 28 Oct 2013, the Minister of Health of the Syrian Arab Republic announced that, after a 15-year absence, polio had returned to the Middle East. Thirteen cases were confirmed from Syria's Deir Al Zour province. The occurrence of an outbreak reflects declining immunization rates due to the severe interruption of public health services and to the conditions in which the people are living."
EP-2013-000162-NGA,Epidemic,Nigeria,2013-11-22,EP,NGA,2013-000162,"Starting in September 2013, an upsurge of cholera cases was reported by Nigeria's health ministry. Between 1 Jan - 11 Nov 2013, a total of 4,220 suspected cases including 145 deaths were reported in 16 states, compared to 581 suspected cases including 15 deaths in 10 states during the same period in 2012. As of 31 Jan 2014, 855 cholera cases and 20 deaths were reported in nine states. During the same period in 2013, no cases or deaths were reported."
EP-2013-000161-GIN,Epidemic,Guinea,2013-12-01,EP,GIN,2013-000161,"Periodic measles outbreak occur in Guinea with the last outbreak in 2009 which had 4,755 cases with the region of Conakry being most affected. In 2013, there were 215 cases with 54 being confirmed as positive. In cases collected in December 2013 and early January 2014, the outbreak crossed the epidemic threshold in several regions with 143 suspected cases with 38 confirmed positive."
VO-2013-000160-SLV,Volcano,El Salvador,2013-12-29,VO,SLV,2013-000160,"The Chaparrastique volcano started registering increased seismic activity at 6:30 am on December 29, 2013. Later on that same day, at 10:30 am, its eruption started, spewing a column of ash that rose more than 5 km above the volcano. Local communities and leaders immediately began evacuation actions. Authorities of the National Civil Protection System (Dirección Nacional del Protección Civil) declared an Orange Alert for the department of San Miguel and a Yellow Alert across the country."
FL-2013-000159-LCA,Flood,Saint Lucia,2013-12-24,FL,LCA,2013-000159,"A low level trough system over the Eastern Caribbean on Christmas Eve, 24 December 2013, caused heavy torrential rains and flooding and landslides on the islands."
FL-2013-000159-VCT,Flood,Saint Vincent & The Grenadines,2013-12-24,FL,VCT,2013-000159,"A low level trough system over the Eastern Caribbean on Christmas Eve, 24 December 2013, caused heavy torrential rains and flooding and landslides on the islands."
EQ-2013-000158-CHN,Earthquake,"China, People's Republic",2013-12-16,EQ,CHN,2013-000158,"The 5.1-magnitude earthquake that jolted a county in central China's Hubei Province Monday injured six people and forced more than 2,000 to be relocated."
FL-2013-000157-BRA,Flood,Brazil,2013-12-11,FL,BRA,2013-000157,Torrential rain in the northeastern Brazilian state of Bahia left at least 16 people dead.
EP-2013-000156-MDG,Epidemic,Madagascar,2013-09-17,EP,MDG,2013-000156,"Bubonic and pneumonic plague - L'alerte épidémique de décès  groupés de cas de maladie fortement suspecte de peste pulmonaire survenus depuis le mois de septembre 2013 dans un village isolé, Beranimbo, Commune rurale d'Ampatakamaroreny, situé à 130km du chef-lieu du district de Mandritsara, lui-même situé à 945km au nord de la capitale Antananarivo, a été ?mis au sein du Ministère de la Santé Publique. La flambée de l'épidémie a commencé le 5 octobre 2013 avec 5 décès groupés dans le village de Beranimbo avec extension vers d'autres villages et Communes environnants à partir du mois de novembre. Cette situation a créé des vents de panique au niveau de la population entrainant des déplacements massives vers d'autres villages, voire vers l'autre district sanitaire limitrophe de Soanierana Ivongo, Région d'Analanjirofo, sur la côte Est. Une dizaine de cas mortels sont alors rapportés dans le district de Soanierana Ivongo sans citer des chiffres non officiels.
Parallèlement ? cela, dans la Région Vatovavy Fitovinany dans le Grand Sud-Est, des cas mortels de peste pulmonaire sont ?également rapportés dans le district d'Ikongo. 
Enfin, deux autres foyers de peste, cette fois á forme bubonique, sont signalés sur les hautes terres centrales, dans le district sanitaire de Tsiroanomandidy, sur la partie nord-ouest de la Province d'Antananarivo, avec 3 cas dont 1 décès, et le district sanitaire d'Ikalamavony (Province de Fianarantsoa), avec 5 cas dont 3 décès."
FL-2013-000155-IDN,Flood,Indonesia,2013-12-14,FL,IDN,2013-000155,"Heavy rainfall affected the island of Java on 14-15 December, causing floods, overflown rivers and landslides. As of 15 December, the Indonesian National Board for Disaster Management (BNPB) reports floods in over 43 villages in Bojonegoro, Tuban, Gresik and Mojokerto, East Java, to have affected approximately 5000 households."
CW-2013-000153-ISR,Cold Wave,Israel,2013-12-12,CW,ISR,2013-000153,"Starting Wednesday 12th December 2013, Israel has been suffering from a severe winter storm affecting the whole country. To date the storm has claimed four lives; 3,000 people have been transported to medical care; 4,000 have been assisted by the IMDA, and the government has been rendering some kind of an assistance to 2,000,000 citizens affected by the storm."
